z_m,z_mm,offset_D_mm,r_mm,theta_deg,modeled_signed_peak,modeled_peak_abs,modeled_signed_norm,modeled_abs_norm,modeled_signed_side_norm,modeled_abs_side_norm,dipole_signed,dipole_abs,dipole_signed_norm,dipole_abs_norm,dipole_signed_side_norm,dipole_abs_side_norm,side,case,Pe,Time_s,Time_norm
0.10000000000000017,100.00000000000017,45.0,109.65856099730671,24.227745317954138,1112423143296659.5,1112423143296659.5,0.6936534915182768,0.6936534915182768,0.9985612425727001,0.9985612425727001,75.83546820582984,75.83546820582984,0.398986802615792,0.398986802615792,0.398986802615792,0.398986802615792,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.09900000000000017,99.00000000000017,45.0,108.74741376235131,24.443954780416497,1112555207707594.4,1112555207707594.4,0.6937358405239608,0.6937358405239608,0.9986797895510486,0.9986797895510486,76.98008434488435,76.98008434488435,0.40500887572153543,0.40500887572153543,0.40500887572153543,0.40500887572153543,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.09800000000000017,98.00000000000017,45.0,107.83784122468343,24.663814712463513,1112683656256507.8,1112683656256507.8,0.6938159348522486,0.6938159348522486,0.9987950907683799,0.9987950907683799,78.14703768878732,78.14703768878732,0.41114846969386964,0.41114846969386964,0.41114846969386964,0.41114846969386964,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.09700000000000017,97.00000000000017,45.0,106.92988356862656,24.88741171092448,1112808259190946.1,1112808259190946.1,0.6938936312405766,0.6938936312405766,0.9989069399885178,0.9989069399885178,79.33675852305944,79.33675852305944,0.41740784835799627,0.41740784835799627,0.41740784835799627,0.41740784835799627,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.09600000000000017,96.00000000000017,45.0,106.0235822824339,25.11483488614452,1112928771994286.0,1112928771994286.0,0.6939687772201555,0.6939687772201555,0.9990151177223002,0.9990151177223002,80.54967849469497,80.54967849469497,0.4237892827021241,0.4237892827021241,0.4237892827021241,0.4237892827021241,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.09500000000000017,95.00000000000017,45.0,105.11898020814336,25.34617594194666,1113044934414295.2,1113044934414295.2,0.6940412105102288,0.6940412105102288,0.9991193903555725,0.9991193903555725,81.78622976412093,81.78622976412093,0.4302950464157427,0.4302950464157427,0.4302950464157427,0.4302950464157427,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.09400000000000017,94.00000000000017,45.0,104.21612159354247,25.581529257938847,1113156469425901.8,1113156469425901.8,0.6941107583713045,0.6941107583713045,0.9992195092181216,0.9992195092181216,83.04684405656118,83.04684405656118,0.43692741089864356,0.43692741089864356,0.43692741089864356,0.43692741089864356,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.09300000000000017,93.00000000000017,45.0,103.31505214633553,25.82099197418924,1113263082123619.6,1113263082123619.6,0.6941772369145259,0.6941772369145259,0.9993152095894675,0.9993152095894675,84.3319516034768,84.3319516034768,0.44368863969160915,0.44368863969160915,0.44368863969160915,0.44368863969160915,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.09200000000000016,92.00000000000017,45.0,102.41581909060743,26.064664078285713,1113364458538704.9,1113364458538704.9,0.694240450364107,0.694240450364107,0.9994062096370888,0.9994062096370888,85.64197996397235,85.64197996397235,0.4505809822755763,0.4505809822755763,0.4505809822755763,0.4505809822755763,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.09100000000000016,91.00000000000017,45.0,101.518471225684,26.312648494788803,1113460264375783.2,1113460264375783.2,0.6943001902695536,0.6943001902695536,0.9994922092823634,0.9994922092823634,86.97735271521263,86.97735271521263,0.4576066671816353,0.4576066671816353,0.4576066671816353,0.4576066671816353,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
